	CRIM	INDUS	NOX	RM	AGE	DIS	RAD	TAX	PTRATIO	B-1000	LSTAT	MEDV
63	0.11027	5.13	0.453	6.456	67.8	7.2255	8	284	19.7	396.9	6.73	22.2
64	0.1265	5.13	0.453	6.762	43.4	7.9809	8	284	19.7	395.58	9.5	25
65	0.01951	1.38	0.4161	7.104	59.5	9.2229	3	216	18.6	393.24	8.05	33
66	0.03584	3.37	0.398	6.29	17.8	6.6115	4	337	16.1	396.9	4.67	23.5
67	0.04379	3.37	0.398	5.787	31.1	6.6115	4	337	16.1	396.9	10.24	19.4
68	0.05789	6.07	0.409	5.878	21.4	6.498	4	345	18.9	396.21	8.1	22
69	0.13554	6.07	0.409	5.594	36.8	6.498	4	345	18.9	396.9	13.09	17.4
70	0.12816	6.07	0.409	5.885	33	6.498	4	345	18.9	396.9	8.79	20.9
71	0.08826	10.81	0.413	6.417	6.6	5.2873	4	305	19.2	383.73	6.72	24.2
72	0.15876	10.81	0.413	5.961	17.5	5.2873	4	305	19.2	376.94	9.88	21.7
73	0.09164	10.81	0.413	6.065	7.8	5.2873	4	305	19.2	390.91	5.52	22.8
74	0.19539	10.81	0.413	6.245	6.2	5.2873	4	305	19.2	377.17	7.54	23.4
75	0.07896	12.83	0.437	6.273	6	4.2515	5	398	18.7	394.92	6.78	24.1
76	0.09512	12.83	0.437	6.286	45	4.5026	5	398	18.7	383.23	8.94	21.4
77	0.10153	12.83	0.437	6.279	74.5	4.0522	5	398	18.7	373.66	11.97	20
78	0.08707	12.83	0.437	6.14	45.8	4.0905	5	398	18.7	386.96	10.27	20.8
79	0.05646	12.83	0.437	6.232	53.7	5.0141	5	398	18.7	386.4	12.34	21.2
80	0.08387	12.83	0.437	5.874	36.6	4.5026	5	398	18.7	396.06	9.1	20.3
81	0.04113	4.86	0.426	6.727	33.5	5.4007	4	281	19	396.9	5.29	28
82	0.04462	4.86	0.426	6.619	70.4	5.4007	4	281	19	395.63	7.22	23.9
83	0.03659	4.86	0.426	6.302	32.2	5.4007	4	281	19	396.9	6.72	24.8
84	0.03551	4.86	0.426	6.167	46.7	5.4007	4	281	19	390.64	7.51	22.9
85	0.05059	4.49	0.449	6.389	48	4.7794	3	247	18.5	396.9	9.62	23.9
86	0.05735	4.49	0.449	6.63	56.1	4.4377	3	247	18.5	392.3	6.53	26.6
87	0.05188	4.49	0.449	6.015	45.1	4.4272	3	247	18.5	395.99	12.86	22.5
88	0.07151	4.49	0.449	6.121	56.8	3.7476	3	247	18.5	395.15	8.44	22.2
89	0.0566	3.41	0.489	7.007	86.3	3.4217	2	270	17.8	396.9	5.5	23.6
90	0.05302	3.41	0.489	7.079	63.1	3.4145	2	270	17.8	396.06	5.7	28.7
91	0.04684	3.41	0.489	6.417	66.1	3.0923	2	270	17.8	392.18	8.81	22.6
92	0.03932	3.41	0.489	6.405	73.9	3.0921	2	270	17.8	393.55	8.2	22
93	0.04203	15.04	0.464	6.442	53.6	3.6659	4	270	18.2	395.01	8.16	22.9
94	0.02875	15.04	0.464	6.211	28.9	3.6659	4	270	18.2	396.33	6.21	25
95	0.04294	15.04	0.464	6.249	77.3	3.615	4	270	18.2	396.9	10.59	20.6
96	0.12204	2.89	0.445	6.625	57.8	3.4952	2	276	18	357.98	6.65	28.4
97	0.11504	2.89	0.445	6.163	69.6	3.4952	2	276	18	391.83	11.34	21.4
98	0.12083	2.89	0.445	8.069	76	3.4952	2	276	18	396.9	4.21	38.7
99	0.08187	2.89	0.445	7.82	36.9	3.4952	2	276	18	393.53	3.57	43.8
100	0.0686	2.89	0.445	7.416	62.5	3.4952	2	276	18	396.9	6.19	33.2
